pct,first name,last name,attendance,votes available legend,remote town meeting vote,article 1: reports,consent agenda: articles 2-6,article 7: a) appropriation of capital expeditures,article 7: b) appropriation of capital expenditures,article 8: opeb stabilization fund,motion to terminate debate: discussion on article 9 crockett amendment,article 9 crockett amendment: fy21 budget appropriation,motion to terminate debate: discussion on article 9 main motion,aricle 9: fy21 budget appropriation main motion,aricle 10: fy21 community preservation committee budget and projects,motion to terminate debate: discussion on article 11,article 11: community preservation committee amend 2018 appropriation for belmont housing,article 12: home rule petition for special act of the massachusetts legislature - remote participation of town meeting,vote date
4,Shonool,Malik,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,06-16-2020
3,Raffi,Manjikian,"Here, with gusto!",,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
2,J.A.,McSwain,-,,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
3,diane,miller,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,06-16-2020
5,Jaime,Murphy,-,,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,-,06-16-2020
2,Devan,O'Toole,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,06-16-2020
4,John,Occhino,-,,-,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
5,Sandra,Occhino,-,,-,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Abstain,Yes / In Favor,-,-,Yes / In Favor,06-16-2020
5,Tommasina,Olson,-,,-,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,-,Yes / In Favor,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
2,Karnig,Ostayan,-,,-,-,-,-,-,-,-,-,-,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
4,Lisa,Pargoli,-,,-,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,No / Opposed,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
1,Adriana,Poole,-,,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
AL,Andrea,Prestwich,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,06-16-2020
6,Robert P,Reardon,-,,-,-,-,No / Opposed,No / Opposed,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,06-16-2020
5,Andres,Rojas,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,06-16-2020
5,Michael,Russo,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,06-16-2020
6,Joel,Semuels,-,,-,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
6,Jamie,Shea,-,,-,-,-,-,-,-,-,-,-,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
3,mary,stearns,Here,,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,-,Yes / In Favor,No / Opposed,Yes / In Favor,06-16-2020
7,Dan,Strain,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,06-16-2020
4,Joseph,White,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,06-16-2020
3,Carole,Williams,-,,-,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,-,-,-,-,-,-,06-16-2020
3,Sue,Bass,Here,,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
3,Bradley,Abruzzi,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
2,Leslie,Aitken,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,-,Yes / In Favor,Yes / In Favor,06-16-2020
1,John,Alcock,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,-,-,-,-,06-16-2020
3,Liz,Allison,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
6,David,Alper,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,-,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
5,Arto,Asadoorian,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
1,Jennifer,Ausrotas,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,-,Yes / In Favor,Abstain,Yes / In Favor,06-16-2020
4,Rola,Baghdady,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
4,Sami,Baghdady,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
7,Bethan,Bailey,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,-,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
4,Helen,Bakeman,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,06-16-2020
1,Heather,Barr,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
1,DANIEL,BARRY,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
8,Kathleen,Baskin,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,-,-,-,-,06-16-2020
5,Claus,Becker,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,-,-,Yes / In Favor,-,-,-,06-16-2020
3,Adam,Belkadi,Barely here...,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
5,Kristen,Bell,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
1,Jessica,Bennett,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
2,Rachel,Berger,Here,,Yes / In Favor,Abstain,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,06-16-2020
3,Joseph,Bernard,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Abstain,Yes / In Favor,Abstain,No / Opposed,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,06-16-2020
1,Carolyn,Bishop,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Abstain,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
8,Marty,Bitner,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,-,-,-,-,06-16-2020
5,Suzanne,Bloore,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
1,Kathryn,Bonfiglio,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
6,John,Bowe,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
4,Catherine,Bowen,Barely here...,,Yes / In Favor,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,No / Opposed,Yes / In Favor,06-16-2020
5,Mary,Bradley,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
8,Kevin,Brosnan,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,-,-,-,-,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,06-16-2020
4,Judith,Brown,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
2,Sumner,Brown,Here,,Yes / In Favor,Yes / In Favor,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,-,-,-,-,06-16-2020
AL,William,Brownsberger,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
2,John,Buckley,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
1,Reed,Bundy,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,-,06-16-2020
8,Carolyn,Bunyon,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
2,Susan,Burgess-Cox,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
7,Seetha,Burtner,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
7,Margaret,Callanan,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,-,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
7,"Richard
“Nick”",Candee,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,-,06-16-2020
8,Brian,Caputo,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
8,Laura,Caputo,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,-,-,-,06-16-2020
2,Tom,Caputo,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,-,-,-,06-16-2020
5,Nancy,Carlson,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
AL,Floyd,Carman,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,06-16-2020
1,Mark,Carthy,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,No / Opposed,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,06-16-2020
3,David,Chase,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
4,william,chemelli,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
4,MICHAEL,CHESSON,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,06-16-2020
4,Charles,Clark,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,-,-,-,-,-,-,-,Yes / In Favor,Yes / In Favor,-,-,06-16-2020
5,JOANNE,COAKLEY,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
5,David,Coleman,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,-,-,-,-,06-16-2020
6,roger,colton,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
2,Alex,Corbett,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
8,Julia,Corbett,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
8,Kathleen,Cowing,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,-,-,-,-,06-16-2020
7,Clare,Crawford,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
3,Stephanie,Crement,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
5,Julie,Crockett,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
8,Michael,Crowley,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
4,Kevin,Cunningham,Here,,Yes / In Favor,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,-,-,-,-,06-16-2020
AL,Ellen,Cushman,Barely here...,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Abstain,Abstain,Yes / In Favor,Yes / In Favor,-,-,-,-,06-16-2020
AL,Adam,Dash,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
4,Debra,Deutsch,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
3,John,Dieckmann,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
2,Elizabeth,Dionne,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
7,Nan,Donald,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Abstain,06-16-2020
5,Thayer,Donham,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
6,Tara,Donner,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
1,Christine,Doyle,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
7,Joan,Drevins,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,06-16-2020
6,Theodore,Dukas,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
5,Janice,Ellard,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
6,Roy,Epstein,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
6,Stephen,Evans,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
6,Judith,Feinleib,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
5,Judith,Feins,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,-,-,-,-,06-16-2020
8,Anthony,Ferrante,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
5,Howard,Fine,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,-,Yes / In Favor,06-16-2020
4,David,Flewelling,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
4,Sheila,Flewelling,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
5,Timothy,Flood,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,No / Opposed,Yes / In Favor,No / Opposed,Yes / In Favor,No / Opposed,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
